policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp,funding_category,impact_category,summary_word_count,goals_word_count,fulltext_word_count,total_text_length
P1098,District Primary Education Reform 5,Vocational,Punjab,2015,Teachers,Implemented,0.95,"Ministry Of Education, Local Ngos",0.497,This policy aims to improve vocational skills in Vocational by providing public-private partnerships across Punjab. It focuses on marginalized communities.,Increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Vocational by providing public-private partnerships across Punjab. It focuses on marginalized communities. Goals: Increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Budget allocations defined.,"policy id: p1098. title: district primary education reform 5. sector: vocational. region: punjab. year: 2015. target group: teachers. status: implemented. funding: $0.95m usd. impact score: 0.497. stakeholders: ministry of education, local ngos. summary: this policy aims to improve vocational skills in vocational by providing public-private partnerships across punjab. it focuses on marginalized communities.. goals: increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas.. full description: this policy aims to improve vocational skills in vocational by providing public-private partnerships across punjab. it focuses on marginalized communities. goals: increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas. stakeholder consultations planned. budget allocations defined.",Low,Medium Impact,20,17,44,81
P1082,District Higher Education Education Reform 25,Secondary,Gujarat,2023,Urban Students,Pilot,59.79,"Ministry Of Education, Local Ngos",0.941,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","policy id: p1082. title: district higher education education reform 25. sector: secondary. region: gujarat. year: 2023. target group: urban students. status: pilot. funding: $59.79m usd. impact score: 0.941. stakeholders: ministry of education, local ngos. summary: a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets urban students and aims to reduce dropout rates.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets urban students and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined.",Very High,Very High Impact,20,12,38,70
P1010,National Vocational Education Reform 94,Higher Education,Maharashtra,2018,Teachers,Implemented,0.16,"State Education Department, Private Partners",0.348,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention.,"Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention. Goals: Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Timeline set. Includes evaluation.","policy id: p1010. title: national vocational education reform 94. sector: higher education. region: maharashtra. year: 2018. target group: teachers. status: implemented. funding: $0.16m usd. impact score: 0.348. stakeholders: state education department, private partners. summary: a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to improve retention.. goals: train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to improve retention. goals: train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. timeline set. includes evaluation.",Low,Medium Impact,17,15,37,69
P1298,District Early Childhood Education Reform 46,Secondary,Karnataka,2017,Women,Under Review,82.3,"Central Government, Donors",0.403,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Women and aims to raise completion rates.,"Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Women and aims to raise completion rates. Goals: Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","policy id: p1298. title: district early childhood education reform 46. sector: secondary. region: karnataka. year: 2017. target group: women. status: under review. funding: $82.3m usd. impact score: 0.403. stakeholders: central government, donors. summary: a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets women and aims to raise completion rates.. goals: train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets women and aims to raise completion rates. goals: train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity.",Very High,Medium Impact,18,16,41,75
P1182,National Higher Education Education Reform 68,Secondary,Tamil Nadu,2023,Students,Implemented,0.32,"Central Government, Donors",0.182,"Policy to enhance infrastructure and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Focus on equity.","policy id: p1182. title: national higher education education reform 68. sector: secondary. region: tamil nadu. year: 2023. target group: students. status: implemented. funding: $0.32m usd. impact score: 0.182. stakeholders: central government, donors. summary: policy to enhance infrastructure and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance infrastructure and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. focus on equity.",Low,Low Impact,17,12,36,65
P1340,State Primary Education Reform 20,Higher Education,Kerala,2017,Students,Implemented,0.49,"Ministry Of Education, Local Ngos",0.318,"Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation.","policy id: p1340. title: state primary education reform 20. sector: higher education. region: kerala. year: 2017. target group: students. status: implemented. funding: $0.49m usd. impact score: 0.318. stakeholders: ministry of education, local ngos. summary: policy to enhance digital access and governance using digital device distribution. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance digital access and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. includes evaluation.",Low,Medium Impact,17,12,34,63
P1440,District Vocational Education Reform 49,Secondary,Karnataka,2020,Disadvantaged Groups,Pilot,9.05,"Ministry Of Education, Local Ngos",0.169,This policy aims to improve early childhood development in Secondary by providing digital device distribution across Karnataka. It focuses on marginalized communities.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Secondary by providing digital device distribution across Karnataka. It focuses on marginalized communities. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined.","policy id: p1440. title: district vocational education reform 49. sector: secondary. region: karnataka. year: 2020. target group: disadvantaged groups. status: pilot. funding: $9.05m usd. impact score: 0.169. stakeholders: ministry of education, local ngos. summary: this policy aims to improve early childhood development in secondary by providing digital device distribution across karnataka. it focuses on marginalized communities.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve early childhood development in secondary by providing digital device distribution across karnataka. it focuses on marginalized communities. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. budget allocations defined.",High,Low Impact,22,12,41,75
P1295,District Vocational Education Reform 6,Higher Education,Punjab,2019,Urban Students,Pilot,5.4,"Ministry Of Education, Local Ngos",0.237,"Policy to enhance teacher quality and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Focus on equity.","policy id: p1295. title: district vocational education reform 6. sector: higher education. region: punjab. year: 2019. target group: urban students. status: pilot. funding: $5.4m usd. impact score: 0.237. stakeholders: ministry of education, local ngos. summary: policy to enhance teacher quality and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance teacher quality and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. focus on equity.",High,Low Impact,17,12,35,64
P1146,State Vocational Education Reform 76,Primary,Kerala,2019,Rural Students,Implemented,15.99,"Central Government, Donors",0.805,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to improve retention.,"Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to improve retention. Goals: Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Includes evaluation.","policy id: p1146. title: state vocational education reform 76. sector: primary. region: kerala. year: 2019. target group: rural students. status: implemented. funding: $15.99m usd. impact score: 0.805. stakeholders: central government, donors. summary: a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets rural students and aims to improve retention.. goals: train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets rural students and aims to improve retention. goals: train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. budget allocations defined. includes evaluation.",High,Very High Impact,18,16,40,74
P1282,National Early Childhood Education Reform 8,Higher Education,Tamil Nadu,2016,All,Pilot,0.27,"Teachers' Unions, Community Leaders",0.296,This policy aims to improve teacher quality in Higher Education by providing scholarship schemes across Tamil Nadu. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Higher Education by providing scholarship schemes across Tamil Nadu. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Timeline set.","policy id: p1282. title: national early childhood education reform 8. sector: higher education. region: tamil nadu. year: 2016. target group: all. status: pilot. funding: $0.27m usd. impact score: 0.296. stakeholders: teachers' unions, community leaders. summary: this policy aims to improve teacher quality in higher education by providing scholarship schemes across tamil nadu. it focuses on gender equity.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve teacher quality in higher education by providing scholarship schemes across tamil nadu. it focuses on gender equity. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. timeline set.",Low,Low Impact,22,12,39,73
P1001,District Primary Education Reform 4,Higher Education,Uttar Pradesh,2018,Teachers,Proposed,3.16,"Ministry Of Education, Local Ngos",0.127,A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity.","policy id: p1001. title: district primary education reform 4. sector: higher education. region: uttar pradesh. year: 2018. target group: teachers. status: proposed. funding: $3.16m usd. impact score: 0.127. stakeholders: ministry of education, local ngos. summary: a nationwide/state-level initiative to strengthen infrastructure through teacher training programs. targets teachers and aims to improve retention.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen infrastructure through teacher training programs. targets teachers and aims to improve retention. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. focus on equity.",Medium,Low Impact,17,12,36,65
P1070,State Primary Education Reform 15,Vocational,Punjab,2023,Students,Implemented,9.37,"Ministry Of Education, Local Ngos",0.647,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to raise completion rates.,"Train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to raise completion rates. Goals: Train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Timeline set.","policy id: p1070. title: state primary education reform 15. sector: vocational. region: punjab. year: 2023. target group: students. status: implemented. funding: $9.37m usd. impact score: 0.647. stakeholders: ministry of education, local ngos. summary: a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets students and aims to raise completion rates.. goals: train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets students and aims to raise completion rates. goals: train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. focus on equity. timeline set.",High,High Impact,17,16,39,72
P1422,State Vocational Education Reform 62,Primary,Rajasthan,2021,Disadvantaged Groups,Proposed,28.8,"Teachers' Unions, Community Leaders",0.35,This policy aims to improve teacher quality in Primary by providing public-private partnerships across Rajasthan. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing public-private partnerships across Rajasthan. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Includes evaluation.","policy id: p1422. title: state vocational education reform 62. sector: primary. region: rajasthan. year: 2021. target group: disadvantaged groups. status: proposed. funding: $28.8m usd. impact score: 0.35. stakeholders: teachers' unions, community leaders. summary: this policy aims to improve teacher quality in primary by providing public-private partnerships across rajasthan. it focuses on urban inclusion.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve teacher quality in primary by providing public-private partnerships across rajasthan. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. includes evaluation.",Very High,Medium Impact,20,12,38,70
P1249,State Primary Education Reform 40,Higher Education,Rajasthan,2023,Rural Students,Proposed,3.59,"Teachers' Unions, Community Leaders",0.452,This policy aims to improve early childhood development in Higher Education by providing scholarship schemes across Rajasthan. It focuses on marginalized communities.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Higher Education by providing scholarship schemes across Rajasthan. It focuses on marginalized communities. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Timeline set.","policy id: p1249. title: state primary education reform 40. sector: higher education. region: rajasthan. year: 2023. target group: rural students. status: proposed. funding: $3.59m usd. impact score: 0.452. stakeholders: teachers' unions, community leaders. summary: this policy aims to improve early childhood development in higher education by providing scholarship schemes across rajasthan. it focuses on marginalized communities.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve early childhood development in higher education by providing scholarship schemes across rajasthan. it focuses on marginalized communities. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. timeline set.",Medium,Medium Impact,22,12,39,73
P1231,District Primary Education Reform 71,Vocational,Delhi,2016,Urban Students,Pilot,16.43,"Central Government, Donors",0.598,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Urban Students and aims to reduce dropout rates.,"Train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Urban Students and aims to reduce dropout rates. Goals: Train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Focus on equity.","policy id: p1231. title: district primary education reform 71. sector: vocational. region: delhi. year: 2016. target group: urban students. status: pilot. funding: $16.43m usd. impact score: 0.598. stakeholders: central government, donors. summary: a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets urban students and aims to reduce dropout rates.. goals: train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets urban students and aims to reduce dropout rates. goals: train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. focus on equity.",High,High Impact,19,16,42,77
